StudentID	sex	condition	recNb	duration	F0	formant1	formant2	formant3	formant4	D1	D2	D3	formantdisp
ins1	m	normal	1	0.25	102	495	1839	2652	3655	1344	813	1003	1053.333333
ins1	m	normal	2	0.26	112	495	1782	2520	3503	1287	738	983	1002.666667
ins1	m	normal	3	0.26	105	670	1700	2410	3620	1030	710	1210	983.3333333
ins1	m	protruded	1	0.22	107	514	1613	2368	3663	1099	755	1295	1049.666667
ins1	m	protruded	2	0.26	102	458	1725	2312	3617	1267	587	1305	1053
ins1	m	protruded	3	0.25	107	477	1574	2368	3636	1097	794	1268	1053
ins1	m	retracted	1	0.24	107	458	1933	2652	3882	1475	719	1230	1141.333333
ins1	m	retracted	2	0.22	112	533	2085	2652	3730	1552	567	1078	1065.666667
ins1	m	retracted	3	0.24	102	477	2141	2690	3825	1664	549	1135	1116
ins2	f	normal	1	0.4	204	783	1819	2884	4312	1036	1065	1428	1176.333333
ins2	f	normal	2	0.38	208	755	1847	2828	4312	1092	981	1484	1185.666667
ins2	f	normal	3	0.4	206	727	1987	2828	4508	1260	841	1680	1260.333333
ins2	f	protruded	1	0.39	210	643	1511	2436	4200	868	925	1764	1185.666667
ins2	f	protruded	2	0.37	210	587	1259	2520	4088	672	1261	1568	1167
ins2	f	protruded	3	0.35	216	643	1679	2492	4004	1036	813	1512	1120.333333
ins2	f	retracted	1	0.43	224	839	1791	2912	4004	952	1121	1092	1055
ins2	f	retracted	2	0.39	204	783	1959	3136	4312	1176	1177	1176	1176.333333
ins2	f	retracted	3	0.38	223	783	1875	2968	4228	1092	1093	1260	1148.333333
ID1	f	normal	1	0.44	246	785	1980	2859	4512	1195	879	1653	1242.333333
ID1	f	normal	2	0.5	229	746	1862	2846	4329	1116	984	1483	1194.333333
ID1	f	normal	3	0.44	239	785	1849	2911	4381	1064	1062	1470	1198.666667
ID1	f	protruded	1	0.43	247	733	1783	2492	4092	1050	709	1600	1119.666667
ID1	f	protruded	2	0.44	228	707	1783	2675	4315	1076	892	1640	1202.666667
ID1	f	protruded	3	0.47	240	733	1757	2636	4224	1024	879	1588	1163.666667
ID1	f	retracted	1	0.44	244	772	2072	2885	4447	1300	813	1562	1225
ID1	f	retracted	2	0.43	237	759	1967	2846	4342	1208	879	1496	1194.333333
ID1	f	retracted	3	0.44	242	746	1770	2911	4355	1024	1141	1444	1203
ID2	f	normal	1	0.37	244	785	1770	2793	4486	985	1023	1693	1233.666667
ID2	f	normal	2	0.34	229	772	1652	2596	4355	880	944	1759	1194.333333
ID2	f	normal	3	0.3	222	798	1599	2688	4329	801	1089	1641	1177
ID2	f	protruded	1	0.34	229	654	1494	2387	3922	840	893	1535	1089.333333
ID2	f	protruded	2	0.35	231	720	1416	2518	3725	696	1102	1207	1001.666667
ID2	f	protruded	3	0.33	213	641	1507	2439	3515	866	932	1076	958
ID2	f	retracted	1	0.36	222	733	1639	2518	3725	906	879	1207	997.3333333
ID2	f	retracted	2	0.33	222	720	1573	2387	3187	853	814	800	822.3333333
ID2	f	retracted	3	0.33	210	733	1678	2426	3672	945	748	1246	979.6666667
ID3	f	normal	1	0.29	224	489	2217	2579	3862	1728	362	1283	1124.333333
ID3	f	normal	2	0.24	209	594	2112	2940	4096	1518	828	1156	1167.333333
ID3	f	normal	3	0.4	234	723	1960	3223	4143	1237	1263	920	1140
ID3	f	protruded	1	0.26	225	454	1983	2485	3781	1529	502	1296	1109
ID3	f	protruded	2	0.25	212	431	1925	2427	3641	1494	502	1214	1070
ID3	f	protruded	3	0.28	220	618	1773	2532	3699	1155	759	1167	1027
ID3	f	retracted	1	0.25	207	583	2054	2054	3302	1471	0	1248	906.3333333
ID3	f	retracted	2	0.23	202	594	2030	2614	3699	1436	584	1085	1035
ID3	f	retracted	3	0.3	187	723	1762	2334	3442	1039	572	1108	906.3333333
ID4	f	normal	1	0.28	207	828	1610	2520	3466	782	910	946	879.3333333
ID4	f	normal	2	0.27	193	676	1878	2649	3232	1202	771	583	852
ID4	f	normal	3	0.35	235	653	1890	2625	3582	1237	735	957	976.3333333
ID4	f	protruded	1	0.29	210	618	1703	2532	3571	1085	829	1039	984.3333333
ID4	f	protruded	2	0.29	203	594	1773	2450	3536	1179	677	1086	980.6666667
ID4	f	protruded	3	0.35	208	641	1610	2485	3594	969	875	1109	984.3333333
ID4	f	retracted	1	0.29	207	630	1843	2544	3221	1213	701	677	863.6666667
ID4	f	retracted	2	0.26	199.17	560	1843	2695	3034	1283	852	339	824.6666667
ID4	f	retracted	3	0.27	153	606	1797	2590	3267	1191	793	677	887
ID5	f	normal	1	0.36	204	816	1995	2730	4166	1179	735	1436	1116.666667
ID5	f	normal	2	0.33	193	794	1576	2133	2946	782	557	813	717.3333333
ID5	f	normal	3	0.32	176	817	1739	2656	3834	922	917	1178	1005.666667
ID5	f	protruded	1	0.37	195	727	1696	2517	4059	969	821	1542	1110.666667
ID5	f	protruded	2	0.35	197	742	1394	2367	3793	652	973	1426	1017
ID5	f	protruded	3	0.33	191	667	1655	2422	3877	988	767	1455	1070
ID5	f	retracted	1	0.33	199	755	1766	2343	3160	1011	577	817	801.6666667
ID5	f	retracted	2	0.32	197	783	1778	2441	3593	995	663	1152	936.6666667
ID5	f	retracted	3	0.31	185	726	1733	2341	3606	1007	608	1265	960
ID6	f	normal	1	0.65	219	807	1244	2925	4421	437	1681	1496	1204.666667
ID6	f	normal	2	0.62	194	790	1530	2706	4521	740	1176	1815	1243.666667
ID6	f	normal	3	0.49	198	740	1496	2706	4488	756	1210	1782	1249.333333
ID6	f	protruded	1	0.81	203	555	1396	2740	4471	841	1344	1731	1305.333333
ID6	f	protruded	2	0.62	180	605	1261	2555	4286	656	1294	1731	1227
ID6	f	protruded	3	0.43	186	656	1261	2488	4068	605	1227	1580	1137.333333
ID6	f	retracted	1	0.75	190	673	1496	2538	4202	823	1042	1664	1176.333333
ID6	f	retracted	2	0.53	180	673	1513	2370	4437	840	857	2067	1254.666667
ID6	f	retracted	3	0.42	207	706	1446	2622	4034	740	1176	1412	1109.333333
ID7	f	normal	1	0.5	243	723	1762	2894	4423	1039	1132	1529	1233.333333
ID7	f	normal	2	0.45	207	536	1657	2672	4178	1121	1015	1506	1214
ID7	f	normal	3	0.52	190	629	1645	2660	3956	1016	1015	1296	1109
ID7	f	protruded	1	0.6	244	583	1482	2509	3956	899	1027	1447	1124.333333
ID7	f	protruded	2	0.57	204	559	1493	2625	4003	934	1132	1378	1148
ID7	f	protruded	3	0.6	199	653	1575	2684	4014	922	1109	1330	1120.333333
ID7	f	retracted	1	0.5	240	734	1622	2800	3606	888	1178	806	957.3333333
ID7	f	retracted	2	0.55	220	676	1762	2555	3489	1086	793	934	937.6666667
ID7	f	retracted	3	0.44	210	746	1493	2520	3454	747	1027	934	902.6666667
