CallSyll	Goup	StartFrequency	EndFrequency	DF1	DF2
F1	CEE	998.4	1081.6	-2.838	-0.856
F1	CEJ	1071.8	1108.2	-3.449	-0.424
F1	CEO	1368.6	1357.6	-2.99	1.397
F1	CEP	1433.9	1197.3	-0.439	0.255
F1	CES	1176.5	1211.6	-1.885	0.002
F1	CEU	1136.4	1170.9	-1.715	-0.326
F1	EFE	1440	1263.6	-0.977	0.7
F1	EFY	1141.7	1141.7	-1.634	-0.47
F1	NFG	930	996.4	-3.53	-1.287
F1	NFI	1254.6	1292.6	-2.501	0.708
F1	NFW	1459.4	1299.2	-2.906	1.318
F1	OFE	1105.9	1090.6	-2.386	-0.647
F1	OFQ	1432.1	1537.7	-2.199	2.252
F1	OFR	1398.1	996.5	-1.024	-0.676
F1	SFF	1487.5	1327.3	-1.629	1.256
F1	SFJ	1091	978.1	-2.019	-1.3
F1	SFL	1263.7	1350.3	-3.204	1.153
F1	SFO	1308.7	1257.1	-1.311	0.421
F1	WFE	1167.5	1287.7	-4.218	0.83
F1	WFG	1501.3	1251.1	-2.117	1.024
F1	WFL	1498.1	1260.1	-1.571	0.946
F1	WFM	1452.3	1490.5	-2.344	2.104
F1	WFT	1300.4	1300.4	-3.222	1.005
F2	CEE	1015	998.4	0.869	-1.984
F2	CEJ	1253.7	1447.8	1.693	0.583
F2	CEO	1226.2	1357.6	0.93	0.241
F2	CEP	1113.7	1211.2	1.034	-0.757
F2	CES	2107.1	1246.7	1.864	1.641
F2	CEU	1859.6	1411.9	2.616	1.682
F2	EFE	2204	1586.9	3.349	3.203
F2	EFY	1807.7	1484.2	1.851	2.063
F2	NFG	1275.5	1235.6	0.058	-0.046
F2	NFI	1748.8	1279.9	0.673	1.182
F2	NFW	1156.9	1388.2	4.347	-0.488
F2	OFE	1121.3	1351.7	1.445	-0.148
F2	OFQ	1687.7	1368.9	2.487	1.087
F2	OFR	1487.3	1189.8	1.743	-0.104
F2	SFF	1315.9	1441.7	1.767	0.688
F2	SFJ	1241.5	1109.8	2.464	-1.232
F2	SFL	1454.2	1333	1.425	0.57
F2	SFO	1532.6	1102.1	2.471	-0.568
F2	WFE	1356.3	1378.1	4.263	-0.038
F2	WFG	1354.1	1339.4	1.912	0.258
F2	WFL	1316.1	1386.1	0.624	0.658
F2	WFM	1586.1	1375.9	4.704	0.415
F2	WFT	1547.1	1188.3	1.725	0.036
P1	BFB	1639.2	1083.1	1.835	-0.27
P1	CEE	974.5	1206.5	2.181	-1.353
P1	CEP	1129.7	1327.4	1.92	-0.343
P1	NFG	687.2	1298.1	3.307	-1.84
P1	NFI	1130	1051.2	0.23	-1.32
P1	OFE	1181.1	1300.2	0.678	-0.092
P1	OFQ	1456.8	1442.2	2.586	0.861
P1	OFR	1314.8	1314.8	1.564	0.117
P1	SFB	1484.9	1319.9	1.053	0.658
P1	SFJ	1637.5	1218.2	3.23	0.087
P1	WFD	1488	974.9	1.408	-1.067
P2	BFB	1024.5	936.7	-2.382	-1.584
P2	CEE	1090.5	974.5	-2.148	-1.292
P2	CEP	1045	1327.4	-1.988	0.263
P2	NFG	1259.9	649	-1.528	-2.577
P2	NFI	788.4	1024.9	-3.228	-1.555
P2	OFE	1136.5	1062.1	-3.933	-0.389
P2	OFQ	1105	1142.5	-2.189	-0.44
P2	OFR	1123.1	1040.9	-2.383	-0.845
P2	SFB	1292.4	1154.9	-2.926	0.225
P2	SFJ	1258.1	1078.4	-2.422	-0.33
P2	WFD	1359.8	1231.5	-3.985	0.975
P3	BFB	1434.3	1229.4	1.641	-0.021
P3	CEE	1090.5	1136.9	1.319	-1.229
P3	CEP	1129.7	1638.1	2.883	0.952
P3	NFG	916.3	1259.9	2.203	-1.241
P3	NFI	1392.8	919.8	0.448	-1.363
P3	OFE	1285.3	1329.9	0.379	0.364
P3	OFQ	1179.9	1217.4	1.31	-0.624
P3	OFR	1369.6	931.3	0.929	-1.463
P3	SFB	1292.4	1182.4	0.37	-0.326
P3	SFJ	1278.1	1198.2	1.943	-0.611
P3	WFD	1411.1	1103.2	1.491	-0.653
