focal	actor	receiver	duration
Daniel	Alexander	Alexander	10
Michael	Michael	Ethan	12
Logan	Logan	Aiden	10
Isabella	Benjamin	Isabella	8
Noah	William	Noah	7
Noah	Sophia	Noah	6
Emma	Emma	William	6
Sophia	Sophia	Noah	9
Alexander	Olivia	Alexander	11
William	William	Elijah	10
Benjamin	Benjamin	James	17
Sophia	Sophia	Jacob	13
Sophia	Alexander	Sophia	10
William	William	Logan	11
Noah	Alexander	Noah	8
Liam	Benjamin	Liam	11
Mia	Ava	Mia	8
Daniel	Daniel	Aiden	5
Aiden	Ava	Aiden	6
Noah	Noah	Ethan	12
James	Ava	James	13
Logan	Liam	Logan	11
James	James	Daniel	8
Alexander	Alexander	Elijah	9
Ava	William	Ava	9
Sophia	Sophia	Sophia	8
Elijah	Isabella	Elijah	12
Jacob	Mia	Jacob	6
Ethan	Ethan	Jacob	9
Ethan	Michael	Ethan	17
James	James	Liam	17
James	James	Jacob	8
Elijah	Elijah	Ava	12
Isabella	Isabella	Mason	7
Mason	Mason	Ava	10
Isabella	Isabella	William	14
Sophia	Sophia	Logan	11
Daniel	Jacob	Daniel	12
Isabella	Mason	Isabella	9
Michael	Jacob	Michael	7
Mason	Mason	Logan	8
Jacob	Jacob	Isabella	7
James	James	William	8
Jacob	Jacob	Liam	5
Ethan	Alexander	Ethan	6
Michael	Michael	Jacob	12
Mason	Mason	Sophia	10
Benjamin	Liam	Benjamin	12
Aiden	Aiden	Daniel	8
Mia	Ava	Mia	7
Daniel	Emma	Daniel	5
Michael	Logan	Michael	9
Benjamin	Noah	Benjamin	11
Jacob	Olivia	Jacob	6
Mason	Noah	Mason	12
Elijah	Logan	Elijah	10
Benjamin	Benjamin	Emma	5
Isabella	Liam	Isabella	7
Jacob	Jacob	Isabella	9
Elijah	Elijah	Elijah	6
Daniel	Mason	Daniel	8
Emma	Logan	Emma	16
James	James	Mason	9
William	Isabella	Alexander	14
Noah	Ethan	Noah	10
Logan	Jacob	Logan	9
Alexander	Ethan	Logan	11
William	William	Ava	7
Daniel	Ava	Daniel	12
Emma	William	Emma	9
Daniel	Daniel	Isabella	11
Sophia	Sophia	Ava	6
Jacob	Jacob	Benjamin	12
Mason	Olivia	Mason	7
Michael	Benjamin	Michael	15
Noah	Noah	Noah	13
Aiden	Mia	Aiden	9
Olivia	Olivia	Ava	9
Sophia	Isabella	Sophia	5
Ava	Isabella	Ava	10
Mia	Mia	Ava	19
Jacob	Jacob	Liam	10
Ava	Logan	Ava	12
Isabella	Olivia	Isabella	12
Michael	Michael	Liam	15
Noah	Noah	Jacob	10
Sophia	Olivia	Sophia	13
Michael	Liam	Michael	15
Isabella	Isabella	Liam	8
Alexander	Alexander	Mason	7
William	William	Benjamin	11
Emma	Emma	Sophia	8
Ava	Ava	Alexander	8
Alexander	Alexander	William	9
Isabella	Isabella	Isabella	8
Emma	Emma	Alexander	4
Mason	Olivia	Mason	12
Ethan	Aiden	Ethan	10
Daniel	Daniel	Jacob	6
Benjamin	Benjamin	Olivia	7
Ava	Ava	Emma	7
Emma	Logan	Emma	19
William	Elijah	William	12
Elijah	Ethan	Elijah	8
Elijah	Elijah	Mason	7
Daniel	Elijah	Daniel	12
Mia	Mia	Daniel	8
Ethan	Ethan	Ethan	10
Benjamin	Benjamin	Sophia	10
Elijah	Elijah	Ethan	10
Mia	Mia	William	13
Emma	Mia	Emma	8
Daniel	Daniel	Jacob	11
Alexander	Alexander	Logan	10
Logan	Noah	Logan	9
Ava	Daniel	Ava	13
Sophia	Ava	Sophia	10
Elijah	Ava	Elijah	6
Emma	Emma	Logan	7
Benjamin	Logan	Benjamin	7
Benjamin	Jacob	Benjamin	12
Daniel	Jacob	Daniel	10
Isabella	Michael	Isabella	12
Benjamin	Elijah	Benjamin	14
Daniel	Jacob	Daniel	16
Olivia	Olivia	Ava	9
Isabella	Isabella	Mia	18
Olivia	Ethan	Olivia	10
Noah	Michael	Noah	6
Liam	James	Liam	13
Olivia	Mason	Olivia	8
Sophia	Isabella	Sophia	9
Elijah	Elijah	Daniel	11
Liam	Isabella	Liam	8
Ethan	Noah	Ethan	10
Olivia	William	Olivia	13
Emma	Daniel	Emma	9
Jacob	Liam	Jacob	6
Alexander	Michael	Alexander	7
Emma	Logan	Emma	10
Michael	Michael	Daniel	7
James	Benjamin	James	9
James	Aiden	James	11
Logan	Logan	Logan	8
Emma	Mia	Emma	9
Olivia	Olivia	Alexander	13
Liam	Liam	Olivia	7
Daniel	Emma	Daniel	9
Mia	Mia	Isabella	9
William	William	Alexander	11
Alexander	Elijah	Alexander	11
William	William	James	12
Emma	Emma	Alexander	15
Emma	Emma	Mason	15
Sophia	Sophia	Isabella	14
Mason	Jacob	Mason	6
Noah	Emma	Noah	10
Isabella	Isabella	Michael	12
Jacob	Jacob	Daniel	13
Noah	Noah	Mia	9
James	James	Logan	9
Olivia	Olivia	Ava	9
Isabella	Isabella	Michael	14
Alexander	Mason	Alexander	13
James	James	Noah	12
Emma	Sophia	Emma	9
Logan	Logan	Michael	11
Noah	Noah	Olivia	11
James	James	Isabella	18
Noah	Noah	Ethan	8
Benjamin	Benjamin	Ethan	11
Alexander	Alexander	Daniel	6
Alexander	Alexander	Noah	7
Mason	Mason	Mason	6
Alexander	Alexander	Ethan	12
Jacob	Jacob	Olivia	3
Daniel	Daniel	Mia	6
Aiden	Elijah	Aiden	11
Daniel	Mia	Daniel	11
Ethan	Jacob	Ethan	9
Jacob	Jacob	Daniel	9
Mia	Mia	Noah	13
Benjamin	Benjamin	Mia	12
Daniel	Daniel	Daniel	13
Jacob	William	Jacob	17
Ava	William	Ava	12
Logan	Emma	Logan	10
Olivia	William	Olivia	3
James	James	Noah	12
Noah	Benjamin	Noah	12
Elijah	Mason	Elijah	7
Emma	Jacob	Emma	14
Aiden	Aiden	James	9
Liam	Liam	Liam	11
Mia	Mia	William	10
Jacob	Michael	Jacob	9
Liam	Liam	Daniel	9
Mason	Olivia	Mason	13
Liam	Ethan	Liam	9
James	Isabella	James	21
