Date	year	month	day	hour	minute	second	value	company
30/11/17	2017	11	30	9	0	0	17.11	CS
29/11/17	2017	11	29	9	0	0	16.69	CS
28/11/17	2017	11	28	9	0	0	16.39	CS
27/11/17	2017	11	27	9	0	0	16.55	CS
24/11/17	2017	11	24	9	0	0	16.7	CS
22/11/17	2017	11	22	9	0	0	16.61	CS
21/11/17	2017	11	21	9	0	0	16.44	CS
20/11/17	2017	11	20	9	0	0	16.2	CS
17/11/17	2017	11	17	9	0	0	15.94	CS
16/11/17	2017	11	16	9	0	0	16.04	CS
15/11/17	2017	11	15	9	0	0	15.71	CS
14/11/17	2017	11	14	9	0	0	15.91	CS
13/11/17	2017	11	13	9	0	0	15.77	CS
10/11/17	2017	11	10	9	0	0	16.07	CS
09/11/17	2017	11	9	9	0	0	15.99	CS
08/11/17	2017	11	8	9	0	0	16.11	CS
07/11/17	2017	11	7	9	0	0	16.2	CS
06/11/17	2017	11	6	9	0	0	15.97	CS
03/11/17	2017	11	3	9	0	0	16.12	CS
02/11/17	2017	11	2	9	0	0	16.32	CS
01/11/17	2017	11	1	9	0	0	15.51	CS
30/11/17	2017	11	30	18	0	0	16.9	CS
29/11/17	2017	11	29	18	0	0	16.65	CS
28/11/17	2017	11	28	18	0	0	16.64	CS
27/11/17	2017	11	27	18	0	0	16.47	CS
24/11/17	2017	11	24	18	0	0	16.72	CS
22/11/17	2017	11	22	18	0	0	16.57	CS
21/11/17	2017	11	21	18	0	0	16.4	CS
20/11/17	2017	11	20	18	0	0	16.12	CS
17/11/17	2017	11	17	18	0	0	16.1	CS
16/11/17	2017	11	16	18	0	0	15.98	CS
15/11/17	2017	11	15	18	0	0	15.89	CS
14/11/17	2017	11	14	18	0	0	15.92	CS
13/11/17	2017	11	13	18	0	0	15.87	CS
10/11/17	2017	11	10	18	0	0	16.03	CS
09/11/17	2017	11	9	18	0	0	16.03	CS
08/11/17	2017	11	8	18	0	0	16.15	CS
07/11/17	2017	11	7	18	0	0	16.07	CS
06/11/17	2017	11	6	18	0	0	16.16	CS
03/11/17	2017	11	3	18	0	0	16.17	CS
02/11/17	2017	11	2	18	0	0	16.38	CS
01/11/17	2017	11	1	18	0	0	15.61	CS
30/11/17	2017	11	30	9	0	0	19.09	DB
29/11/17	2017	11	29	9	0	0	18.95	DB
28/11/17	2017	11	28	9	0	0	18.49	DB
27/11/17	2017	11	27	9	0	0	18.85	DB
24/11/17	2017	11	24	9	0	0	19.09	DB
22/11/17	2017	11	22	9	0	0	19.06	DB
21/11/17	2017	11	21	9	0	0	19.16	DB
20/11/17	2017	11	20	9	0	0	19.23	DB
17/11/17	2017	11	17	9	0	0	19.02	DB
16/11/17	2017	11	16	9	0	0	18.91	DB
15/11/17	2017	11	15	9	0	0	18.26	DB
14/11/17	2017	11	14	9	0	0	18.1	DB
13/11/17	2017	11	13	9	0	0	17.87	DB
10/11/17	2017	11	10	9	0	0	17.87	DB
09/11/17	2017	11	9	9	0	0	17.28	DB
08/11/17	2017	11	8	9	0	0	16.93	DB
07/11/17	2017	11	7	9	0	0	16.95	DB
06/11/17	2017	11	6	9	0	0	16.63	DB
03/11/17	2017	11	3	9	0	0	16.95	DB
02/11/17	2017	11	2	9	0	0	16.81	DB
01/11/17	2017	11	1	9	0	0	16.28	DB
30/11/17	2017	11	30	18	0	0	18.86	DB
29/11/17	2017	11	29	18	0	0	19	DB
28/11/17	2017	11	28	18	0	0	18.88	DB
27/11/17	2017	11	27	18	0	0	18.74	DB
24/11/17	2017	11	24	18	0	0	19.19	DB
22/11/17	2017	11	22	18	0	0	18.91	DB
21/11/17	2017	11	21	18	0	0	19.01	DB
20/11/17	2017	11	20	18	0	0	19.17	DB
17/11/17	2017	11	17	18	0	0	19.13	DB
16/11/17	2017	11	16	18	0	0	19.04	DB
15/11/17	2017	11	15	18	0	0	18.48	DB
14/11/17	2017	11	14	18	0	0	18.19	DB
13/11/17	2017	11	13	18	0	0	17.93	DB
10/11/17	2017	11	10	18	0	0	17.94	DB
09/11/17	2017	11	9	18	0	0	17.41	DB
08/11/17	2017	11	8	18	0	0	17.04	DB
07/11/17	2017	11	7	18	0	0	16.68	DB
06/11/17	2017	11	6	18	0	0	16.83	DB
03/11/17	2017	11	3	18	0	0	16.82	DB
02/11/17	2017	11	2	18	0	0	17.06	DB
01/11/17	2017	11	1	18	0	0	16.56	DB
