Date	year	month	day	hour	min	sec	latitude	longitude	depth	magnitude	magtype	source	eventID
01/01/00	2000	1	1	5	58	20	-60.722	153.67	10	6	Mw	NEI	2.00001E+11
05/01/00	2000	1	5	7	40	41	-11.371	165.378	33	6.1	Mw	NEI	2.00001E+11
06/01/00	2000	1	6	10	42	2	58.04	-136.87	1	6.1	ML	AK	
06/01/00	2000	1	6	10	42	25	58.04	-136.87	1	6.2	Me	PGC	2.00001E+11
06/01/00	2000	1	6	21	31	6	16.095	119.484	33	6.2	Me	NEI	2.00001E+11
08/01/00	2000	1	8	1	19	47	-9.805	159.811	33	6.4	Me	NEI	2.00001E+11
08/01/00	2000	1	8	11	59	22	-23.169	-70.122	36	6.4	Me	NEI	2.00001E+11
08/01/00	2000	1	8	16	47	21	-16.925	-174.248	183.4	7.2	Me	NEI	2.00001E+11
09/01/00	2000	1	9	21	54	40	-18.823	174.37	33	6.5	Mw	NEI	2.00001E+11
13/01/00	2000	1	13	20	7	14	-17.61	-178.742	535	6.2	Mw	NEI	2.00001E+11
15/01/00	2000	1	15	12	49	45	-21.216	-179.255	632.8	6	Mw	NEI	2.00001E+11
19/01/00	2000	1	19	7	9	34	36.372	70.379	206.9	6	Me	NEI	2.00001E+11
20/01/00	2000	1	20	9	41	47	43.649	-127.257	10	6.1	Mw	NEI	2.00001E+11
26/01/00	2000	1	26	13	26	50	-17.272	-174.002	33	6.3	Me	NEI	2.00001E+11
28/01/00	2000	1	28	14	21	7	43.046	146.837	61.1	6.8	Me	NEI	2.00001E+11
28/01/00	2000	1	28	16	39	24	26.076	124.496	193.9	6	Me	NEI	2.00001E+11
06/02/00	2000	2	6	11	33	52	-5.844	150.876	33	6.6	Me	NEI	2.00002E+11
13/02/00	2000	2	13	2	57	9	42.853	131.572	513.6	6	Mw	NEI	2.00002E+11
25/02/00	2000	2	25	1	43	59	-19.528	173.818	33	7.1	Mw	NEI	2.00002E+11
26/02/00	2000	2	26	8	11	48	13.795	144.782	132.2	6.2	Me	NEI	2.00002E+11
26/02/00	2000	2	26	18	24	39	9.406	-78.532	65	6.1	Me	NEI	2.00002E+11
28/02/00	2000	2	28	22	15	20	-17.588	-178.984	538	6	Mw	NEI	2.00002E+11
29/02/00	2000	2	29	4	35	4	-50.066	-114.201	10	6	Mw	NEI	2.00002E+11
29/02/00	2000	2	29	22	44	58	-18.158	169.014	33	6	Mw	NEI	2.00002E+11
03/03/00	2000	3	3	22	9	14	-7.321	128.491	141.9	6.4	Me	NEI	2.00003E+11
03/03/00	2000	3	3	22	22	41	-6.817	143.807	10	6.6	Mw	NEI	2.00003E+11
04/03/00	2000	3	4	2	24	22	-60.167	149.868	10	6.4	Mw	NEI	2.00003E+11
05/03/00	2000	3	5	23	57	3	-62.902	145.637	10	6.1	Mw	NEI	2.00003E+11
12/03/00	2000	3	12	22	21	30	14.975	-92.444	62	6.3	Mw	NEI	2.00003E+11
28/03/00	2000	3	28	11	0	23	22.338	143.73	126.5	7.6	Me	NEI	2.00003E+11
03/04/00	2000	4	3	15	20	2	4.082	125.61	150	6.2	Mw	NEI	2.00004E+11
07/04/00	2000	4	7	19	8	28	-18.045	65.517	10	6.3	Mw	NEI	2.00004E+11
18/04/00	2000	4	18	17	28	12	-20.664	-176.469	220.7	6	Me	NEI	2.00004E+11
21/04/00	2000	4	21	4	35	18	51.422	-178.137	33	6	Mb	NEI	2.00004E+11
23/04/00	2000	4	23	9	27	23	-28.307	-62.99	608.5	7	Me	NEI	2.00004E+11
23/04/00	2000	4	23	17	1	17	-28.384	-62.943	609.8	6.1	Me	NEI	2.00004E+11
02/05/00	2000	5	2	15	3	37	17.439	147.516	55	6	Me	NEI	2.00005E+11
04/05/00	2000	5	4	4	21	16	-1.105	123.573	26	7.6	Me	NEI	2.00005E+11
04/05/00	2000	5	4	20	36	32	-17.914	-178.522	515.8	6.5	Me	NEI	2.00005E+11
06/05/00	2000	5	6	13	44	14	-11.295	165.432	12	6.3	Me	NEI	2.00005E+11
08/05/00	2000	5	8	10	28	25	-4.457	150.004	502	6.1	Me	NEI	2.00005E+11
12/05/00	2000	5	12	18	43	18	-23.548	-66.452	225	7.2	Me	NEI	2.00005E+11
12/05/00	2000	5	12	23	10	30	35.975	70.657	107.7	6.3	Me	NEI	2.00005E+11
14/05/00	2000	5	14	20	8	34	-4.296	123.164	33	6.3	Me	NEI	2.00005E+11
21/05/00	2000	5	21	19	58	47	71.19	-8.263	10	6	Mw	NEI	2.00005E+11
26/05/00	2000	5	26	0	30	5	11.359	139.245	33	6	Me	NEI	2.00005E+11
02/06/00	2000	6	2	11	13	49	44.513	-130.081	10	6.2	Mw	NEI	2.00006E+11
03/06/00	2000	6	3	8	54	49	35.552	140.464	62.3	6.2	Mw	NEI	2.00006E+11
04/06/00	2000	6	4	16	28	26	-4.721	102.087	33	7.9	Mw	NEI	2.00006E+11
04/06/00	2000	6	4	16	39	46	-4.646	102.102	33	6.7	Mb	NEI	2.00006E+11
04/06/00	2000	6	4	17	52	16	28.723	65.383	33	6	Mb	NEI	2.00006E+11
06/06/00	2000	6	6	2	41	50	40.693	32.992	10	6	Mw	NEI	2.00006E+11
06/06/00	2000	6	6	9	58	7	-5.093	102.699	33	6.2	Mw	NEI	2.00006E+11
06/06/00	2000	6	6	14	57	2	29.424	131.421	33	6.4	Me	NEI	2.00006E+11
07/06/00	2000	6	7	21	46	56	26.856	97.238	33	6.3	Mw	NEI	2.00006E+11
07/06/00	2000	6	7	23	45	27	-4.612	101.905	33	6.7	Me	NEI	2.00006E+11
09/06/00	2000	6	9	1	27	15	-5.071	152.495	33	6.3	Me	NEI	2.00006E+11
09/06/00	2000	6	9	8	0	24	-5.549	102.679	33	6	Me	NEI	2.00006E+11
09/06/00	2000	6	9	8	42	0	-11.301	162.062	33	6.1	Mw	NEI	2.00006E+11
09/06/00	2000	6	9	23	31	45	30.491	137.73	485.3	6.3	Me	NEI	2.00006E+11
10/06/00	2000	6	10	18	23	29	23.843	121.225	33	6.4	Me	NEI	2.00006E+11
11/06/00	2000	6	11	11	55	12	-50.579	139.55	10	6.6	Mw	NEI	2.00006E+11
14/06/00	2000	6	14	2	15	26	-25.516	178.046	604.6	6.4	Me	NEI	2.00006E+11
14/06/00	2000	6	14	17	0	48	4.542	127.722	89.5	6.3	Me	NEI	2.00006E+11
14/06/00	2000	6	14	23	1	15	-17.902	176.212	33	6	Mw	NEI	2.00006E+11
15/06/00	2000	6	15	11	10	46	29.368	132.082	10	6.1	Me	NEI	2.00006E+11
16/06/00	2000	6	16	7	55	35	-33.877	-70.088	120.2	6.4	Mw	NEI	2.00006E+11
17/06/00	2000	6	17	15	40	42	63.966	-20.487	10	6.8	Me	NEI	2.00006E+11
18/06/00	2000	6	18	14	44	13	-13.802	97.453	10	7.9	Mw	NEI	2.00006E+11
21/06/00	2000	6	21	0	51	47	63.98	-20.758	10	6.5	Mw	NEI	2.00006E+11
25/06/00	2000	6	25	6	34	43	31.183	131.206	10	6	Me	NEI	2.00006E+11
01/07/00	2000	7	1	7	1	56	34.221	139.131	10	6.1	Mw	NEI	2.00007E+11
