year	month	day	hour	min	sec	latitude	longitude	depth	magnitude	magtype	eventID
2017	1	1	0	13	25	2.8327	127.5786	78.93	5	Mb	2.01701E+11
2017	1	1	6	35	49	2.5444	-79.0252	14.98	4.7	Mb	2.01701E+11
2017	1	1	10	14	7	-7.4382	154.7478	36.43	4.5	Mb	2.01701E+11
2017	1	1	13	4	2	34.9934	27.0381	10	4.9	Mb	2.01701E+11
2017	1	1	14	12	6	3.6359	128.5907	11	5.2	Mw	2.01701E+11
2017	1	1	14	13	34	3.5887	128.2355	10	5.3	Mw	2.01701E+11
2017	1	1	14	17	54	3.5208	128.7229	10	4.7	Mb	2.01701E+11
2017	1	1	15	13	39	3.6245	128.6563	10	4.5	Mb	2.01701E+11
2017	1	1	16	54	7	21.1208	98.4506	64.29	4.6	Mb	2.01701E+11
2017	1	1	21	30	23	-10.3123	161.4198	58.73	4.7	Mb	2.01701E+11
2017	1	1	22	49	30	-22.3853	171.4833	100.79	4.6	Mb	2.01701E+11
2017	1	1	22	58	2	3.9731	94.5977	30.62	4.6	Mb	2.01701E+11
2017	1	2	0	13	6	-36.0365	51.9288	10	5.7	Mw	2.01701E+11
2017	1	2	0	18	49	-37.1568	52.3287	10	5	Mb	2.01701E+11
2017	1	2	3	21	37	-10.7398	162.0523	50.72	5.1	Mb	2.01701E+11
2017	1	2	6	19	11	-27.5113	-172.8231	10	4.9	Mb	2.01701E+11
2017	1	2	6	43	3	29.6533	50.7974	10	4.5	Mb	2.01701E+11
2017	1	2	7	31	6	53.4138	108.6036	10	4.5	Mb	2.01701E+11
2017	1	2	8	55	30	43.8508	86.2733	35	4.6	Mb	2.01701E+11
2017	1	2	10	15	16	-23.2769	179.2614	547.77	5.3	Mb	2.01701E+11
2017	1	2	10	22	21	-9.4856	155.2866	10	4.9	Mb	2.01701E+11
2017	1	2	12	41	44	-20.6508	169.761	122.18	4.7	Mb	2.01701E+11
2017	1	2	13	13	49	-4.895	-76.3675	106	5.9	Mw	2.01701E+11
2017	1	2	13	14	3	-23.2513	179.2383	551.62	6.3	Mw	2.01701E+11
2017	1	2	14	3	56	1.9044	98.9469	120.31	4.5	Mb	2.01701E+11
2017	1	2	14	19	40	-16.1181	167.5491	48.05	4.6	Mb	2.01701E+11
2017	1	2	15	20	52	-25.4887	179.9715	494.28	4.5	Mb	2.01701E+11
2017	1	2	16	4	15	53.3783	-35.3232	12.76	4.7	Mb	2.01701E+11
2017	1	2	16	10	59	38.8698	142.8242	35	4.6	Mb	2.01701E+11
2017	1	2	16	42	7	53.3196	-35.2675	10.45	4.8	Mb	2.01701E+11
2017	1	2	18	35	23	34.0275	136.4244	376.64	4.5	Mb	2.01701E+11
2017	1	2	19	12	59	-4.7819	153.7582	103	4.6	Mb	2.01701E+11
2017	1	2	19	25	53	-7.8644	123.2248	233.5	4.6	Mb	2.01701E+11
2017	1	2	19	44	41	-19.4818	-175.7307	255.98	4.7	Mb	2.01701E+11
2017	1	2	21	2	25	-8.7459	108.7974	38.14	5.2	Mb	2.01701E+11
2017	1	2	21	24	21	41.2084	142.0005	55.03	4.5	Mw	2.01701E+11
2017	1	3	2	7	9	52.9345	-35.2125	10	4.5	Mb	2.01701E+11
2017	1	3	3	19	20	-8.2134	106.7646	47.66	4.7	Mb	2.01701E+11
2017	1	3	4	26	52	-3.5702	139.3172	52.31	4.8	Mb	2.01701E+11
2017	1	3	4	38	39	30.5247	131.1366	32.13	4.8	Mb	2.01701E+11
2017	1	3	6	4	59	-3.3528	139.4192	56.83	4.5	Mb	2.01701E+11
2017	1	3	8	41	20	-10.6227	161.4209	10	4.6	Mb	2.01701E+11
2017	1	3	9	9	2	24.0151	92.0177	32	5.7	Mw	2.01701E+11
2017	1	3	10	32	18	31.709	141.7744	10	4.5	Mb	2.01701E+11
2017	1	3	10	49	36	-8.2507	148.0029	50.35	5.1	Mb	2.01701E+11
2017	1	3	12	0	34	-55.412	-30.6043	10	4.7	Mb	2.01701E+11
2017	1	3	12	43	46	-3.3533	-43.966	10	4.5	Mb	2.01701E+11
2017	1	3	13	41	52	-19.9071	-70.4091	43.13	5.2	Mw	2.01701E+11
2017	1	3	14	4	22	-8.1091	106.8098	35	4.7	Mb	2.01701E+11
2017	1	3	14	19	45	39.2661	72.3446	41.76	4.5	Mb	2.01701E+11
2017	1	3	15	2	10	-21.481	172.4563	14.04	4.8	Mb	2.01701E+11
2017	1	3	15	30	19	-30.609	118.455	10	4.5	Mb	2.01701E+11
2017	1	3	15	41	46	-20.1088	-178.3125	600	4.6	Mb	2.01701E+11
2017	1	3	15	49	10	-7.5458	128.0146	151.22	4.5	Mb	2.01701E+11
2017	1	3	16	36	45	-57.2954	147.5104	9.08	4.6	Mb	2.01701E+11
2017	1	3	17	7	14	-15.0773	-178.7921	407.31	4.6	Mb	2.01701E+11
2017	1	3	18	16	51	-19.1011	-177.4269	565.06	4.6	Mb	2.01701E+11
2017	1	3	18	38	24	-28.1292	-175.4357	10	4.9	Mb	2.01701E+11
2017	1	3	18	49	54	23.3168	94.5035	88.62	5.1	Mb	2.01701E+11
2017	1	3	19	27	59	-23.2527	179.2307	550.95	5	Mb	2.01701E+11
2017	1	3	19	39	5	3.8627	125.8083	74.43	4.5	Mb	2.01701E+11
2017	1	3	21	19	8	-43.3527	-74.5017	10.26	5.5	Mw	2.01701E+11
2017	1	3	21	52	31	-19.3733	176.0518	12	6.9	Mw	2.01701E+11
2017	1	3	21	55	38	-19.3977	175.9532	10	5.7	Mb	2.01701E+11
2017	1	3	22	4	51	-18.9122	176.2844	10	4.6	Mb	2.01701E+11
2017	1	3	22	9	6	-19.2817	176.2572	10	4.7	Mb	2.01701E+11
2017	1	3	22	12	3	-19.2048	176.3256	10	4.8	Mb	2.01701E+11
2017	1	3	22	33	36	-19.3896	176.0139	10	4.7	Mb	2.01701E+11
2017	1	3	22	33	46	-18.9905	176.424	10	4.9	Mb	2.01701E+11
2017	1	3	22	40	13	-19.1207	176.1875	10	6	Mw	2.01701E+11
2017	1	3	22	43	10	-18.9906	176.4274	10	5	Mb	2.01701E+11
2017	1	3	22	45	18	-19.3169	176.1547	10	4.8	Mb	2.01701E+11
2017	1	3	23	3	52	-19.2254	176.2009	19.13	5.3	Mb	2.01701E+11
2017	1	3	23	5	19	-19.079	176.2308	10	4.6	Mb	2.01701E+11
2017	1	3	23	30	56	-19.1458	176.0234	10	4.5	Mb	2.01701E+11
2017	1	3	23	34	13	-18.9749	176.2872	19.36	5.5	Mb	2.01701E+11
2017	1	3	23	41	32	-19.2366	176.111	10	4.9	Mb	2.01701E+11
2017	1	3	23	42	34	-6.0857	154.0278	10	4.5	Mb	2.01701E+11
2017	1	3	23	46	12	-19.1821	176.3234	10	5.1	Mb	2.01701E+11
2017	1	3	23	47	13	-19.4191	176.1874	10	5	Mb	2.01701E+11
2017	1	3	23	56	5	-19.0006	176.343	10	5	Mb	2.01701E+11
2017	1	4	0	3	53	-19.3691	176.2764	10	4.5	Mb	2.01701E+11
2017	1	4	0	8	58	-19.1898	176.4454	10	4.6	Mb	2.01701E+11
2017	1	4	0	8	59	-41.0597	-91.7027	10	4.7	Mb	2.01701E+11
2017	1	4	0	9	43	-18.9157	176.3246	18.51	5.4	Mb	2.01701E+11
2017	1	4	0	26	48	-19.4438	176.1419	10	4.8	Mb	2.01701E+11
2017	1	4	1	4	1	41.932	82.5284	26.21	4.6	Mb	2.01701E+11
2017	1	4	1	6	11	-17.8694	167.1235	22.1	5.6	Mw	2.01701E+11
2017	1	4	1	16	57	-19.1665	176.3159	10	4.5	Mb	2.01701E+11
2017	1	4	2	33	4	-19.2354	176.1898	10	4.9	Mb	2.01701E+11
2017	1	4	2	39	41	-11.5752	113.4321	10	4.8	Mb	2.01701E+11
2017	1	4	3	10	25	-6.0218	153.6675	10	5.1	Mb	2.01701E+11
2017	1	4	3	10	51	-19.2702	176.1961	10	5.3	Mb	2.01701E+11
2017	1	4	4	1	20	-18.9881	176.354	10	5.3	Mb	2.01701E+11
2017	1	4	5	36	9	-19.1318	175.9988	10	5.3	Mw	2.01701E+11
2017	1	4	5	58	44	-19.3856	176.0528	10	5.3	Mb	2.01701E+11
2017	1	4	6	28	46	-24.3219	179.7271	527.9	4.5	Mb	2.01701E+11
2017	1	4	10	37	49	-6.3567	130.0683	140.72	4.7	Mb	2.01701E+11
2017	1	4	11	22	25	-10.8027	161.5161	10	4.5	Mb	2.01701E+11
2017	1	4	13	24	5	-30.2832	-71.5346	45.41	4.9	Mw	2.01701E+11
2017	1	4	14	12	52	30.4946	83.7309	10	4.7	Mb	2.01701E+11
2017	1	4	14	28	8	22.9682	94.7422	123.35	4.6	Mb	2.01701E+11
2017	1	4	14	31	17	-19.1825	176.2368	10	5.1	Mb	2.01701E+11
2017	1	4	14	39	27	-17.8486	-178.5371	579.79	4.5	Mb	2.01701E+11
2017	1	4	14	43	15	-27.733	65.2127	10	4.6	Mb	2.01701E+11
2017	1	4	15	14	32	29.7448	102.2706	10	4.7	Mb	2.01701E+11
2017	1	4	15	44	0	36.902	140.9426	53.38	5.2	Mw	2.01701E+11
2017	1	4	16	24	3	-10.4609	161.3767	51.33	4.7	Mb	2.01701E+11
2017	1	4	16	39	0	-18.6576	-173.2326	10	4.5	Mb	2.01701E+11
2017	1	4	16	45	9	13.0858	-89.3613	66.9	5	Mb	2.01701E+11
2017	1	4	17	53	21	37.1515	141.3125	10	5.3	Mw	2.01701E+11
2017	1	4	20	3	53	-18.7942	176.2567	7	5.7	Mw	2.01701E+11
2017	1	4	21	3	47	-10.4803	161.4025	49.24	5.2	Mb	2.01701E+11
