DateTime	Latitude	Longitude	Depth	Magnitude
2014-01-01	33.0833	139.4782	15.72	4.1
2014-01-01	41.9117	137.5205	285.08	4.9
2014-01-01	36.6547	140.9389	61.76	4.9
2014-01-02	35.2496	140.4761	35	4.5
2014-01-02	35.262	140.5056	28.93	4.8
2014-01-02	34.6145	138.588	230.59	4
2014-01-03	35.9856	139.9683	85.7	4.2
2014-01-04	36.9704	143.3822	22	5.5
2014-01-04	35.1491	141.7248	36.78	4.4
2014-01-04	33.7316	141.3232	33.98	4.7
2014-01-04	28.2375	141.974	42.71	4.5
2014-01-04	32.6411	140.6006	70.5	4.4
2014-01-05	37.0612	143.4129	26.81	4.3
2014-01-05	33.4243	139.5192	29.8	4.6
2014-01-05	36.7498	140.6683	84.63	4.1
2014-01-06	36.2473	138.7459	144.81	4.3
2014-01-06	32.6959	141.0612	49.94	4.2
2014-01-06	37.5342	141.6798	51.8	4.7
2014-01-06	37.4754	143.157	32.13	4.4
2014-01-07	35.308	140.4681	21.72	4.5
2014-01-08	38.8492	142.1167	61.13	4.5
2014-01-08	24.5546	123.5034	63.11	5.4
2014-01-08	36.7183	140.4975	33.03	4.7
2014-01-09	42.0428	142.6886	64.22	5
2014-01-09	36.9322	141.2823	39.71	4.6
2014-01-11	43.6586	139.1773	228.14	4.9
2014-01-11	37.0921	144.7925	10	4.5
2014-01-11	25.489	126.3187	41.63	5
2014-01-12	27.7989	129.4094	78.45	4.1
2014-01-12	41.2351	131.9796	531.29	4.1
2014-01-12	36.9007	140.5018	44.19	4.4
2014-01-14	30.2991	140.5099	140.62	4.9
2014-01-14	38.11	142.6769	34.83	4.7
2014-01-15	25.8412	126.6363	58.15	4.6
2014-01-15	42.3421	142.0368	11.94	4.6
2014-01-16	40.1538	142.753	44.34	5.1
2014-01-16	38.2656	141.8013	56.52	4.3
2014-01-16	24.9943	123.3657	141.51	4.5
2014-01-16	40.7108	143.7821	18.26	4.5
2014-01-16	27.9698	129.4455	42.29	5
2014-01-17	31.2003	142.8388	35.25	4.5
2014-01-17	37.0339	142.5967	30.09	4.1
2014-01-17	36.8264	141.2301	20.87	4.7
2014-01-17	35.5756	140.18	62.92	4.6
2014-01-18	29.9469	138.6785	438.34	4.3
2014-01-18	28.9022	142.3492	14	5.3
2014-01-18	28.9151	142.3974	20.31	4.6
2014-01-18	36.0881	140.7659	15.7	4.2
2014-01-18	33.5958	141.1952	47.74	4.7
2014-01-19	28.443	139.7572	465.84	4
2014-01-19	37.8147	144.0024	35.25	4.3
2014-01-20	33.0312	140.008	159.69	4.3
2014-01-20	31.3197	143.1317	29.89	4.8
2014-01-20	31.2623	142.9172	16.91	4.4
2014-01-20	41.0867	143.2247	47.53	4.6
2014-01-22	31.9545	138.0891	354.85	4.5
2014-01-22	31.5547	143.6935	32.11	5.1
