pred1	pred2	resp
-0.56	-0.6	-10.2
-0.23	-0.99	-9.75
1.56	1.03	1.13
0.07	0.75	-1.97
0.13	-1.51	-23.79
1.72	-0.1	13.09
0.46	-0.9	4.09
-1.27	-2.07	24.33
-0.69	0.15	5.67
-0.45	-0.08	-5.06
1.22	-0.1	29.9
0.36	0.22	28.64
0.4	0.88	-12.47
0.11	0.21	4.65
-0.56	-0.62	-2.33
1.79	-0.73	5.29
0.5	-0.13	3.16
-1.97	0.31	-15.88
0.7	-1.04	4.95
-0.47	-0.18	16.97
-1.07	0.97	-4.22
-0.22	-0.11	-1.85
-1.03	-0.7	13.14
-0.73	-0.28	8.17
-0.63	1.11	-18.54
-1.69	0.55	-0.8
0.84	1.24	16.56
0.15	0.14	14.24
-1.14	0.41	2.08
1.25	-0.56	9.65
0.43	0.61	-11.93
-0.3	-0.51	3.06
0.9	-1.42	-6.77
0.88	0.13	-3.39
0.82	1.95	8.64
0.69	0.8	-11.13
0.55	1.17	2.32
-0.06	0.36	3.83
-0.31	-0.61	0.69
-0.38	-0.2	17.85
-0.69	-0.27	-10.99
-0.21	-0.47	6.22
-1.27	0.7	-3.49
2.17	-1.2	1.85
1.21	0.87	5.59
-1.12	0.86	-12.74
-0.4	-1.2	-12.53
-0.47	0.64	-6.29
0.78	2.43	16.26
-0.08	-0.56	1
0.25	0.84	2.85
-0.03	-0.78	-1.16
-0.04	1.11	3.53
1.37	0.25	-7.71
-0.23	1.65	9.58
1.52	-1.46	9.59
-1.55	-0.05	-10.34
0.58	-0.53	1.95
0.12	-0.2	7.54
0.22	-0.63	6.54
0.38	-0.83	16.22
-0.5	0.58	-7.46
-0.33	-1.09	11.76
-1.02	1.48	7.36
-1.07	-1.19	-2.04
0.3	0.1	-9.41
0.45	0.53	-10.75
0.05	0.59	4.06
0.92	-0.3	0.97
2.05	0.08	20.79
-0.49	0.96	3.66
-2.31	-1.46	-5.72
1.01	-0.78	-7.96
-0.71	0.32	-7.21
-0.69	-0.44	2.83
1.03	1.37	-4.33
-0.28	0.67	4.05
-1.22	0.07	-5.24
0.18	-1.51	0.72
-0.14	0.03	-7.55
0.01	-0.32	19.39
0.39	-0.1	4.01
-0.37	-1.18	2.93
0.64	0.5	-16.46
-0.22	-1.04	7.31
0.33	-0.23	-9.51
1.1	0.38	-7.65
0.44	-0.78	10.62
-0.33	0.58	-5.6
1.15	-1.32	-14.44
0.99	-2.81	21.99
0.55	NA	-23.41
0.24	0.84	5.25
-0.63	-0.29	9.52
1.36	0.5	-4.77
-0.6	-1.16	4.7
2.19	-0.13	7.81
1.53	-1.94	14.64
-0.24	1.18	3.3
-1.03	1.86	-5.85
-0.71	1.07	7.02
0.26	-0.03	8.43
NA	-0.03	-9.71
-0.35	-1.52	-13.01
-0.95	0.79	-0.61
-0.05	-0.21	-2.6
-0.78	-0.66	-10.37
-1.67	-1.41	-0.26
-0.38	-0.3	-13.47
0.92	-0.85	3.84
-0.58	-0.4	-6.72
0.61	-1.22	11.71
-1.62	1.69	20.12
-0.06	-0.02	-9.23
0.52	1.07	10.29
0.3	-2.6	11.3
