subject	rt	sex	native	prevtype	wordclass	freq	word	length
A1	556	F	English	word	animal	23	squid	5
A1	647	F	English	nonword	plant	11	kiwi	4
A1	847	F	English	word	plant	84	mustard	7
A2	340	M	English	nonword	animal	320	pig	3
A2	553	M	English	nonword	plant	24	almond	6
A2	401	M	English	nonword	animal	21	hedgehog	8
A2	498	M	English	nonword	plant	233	lemon	5
A3	634	F	Other	nonword	animal	28	reindeer	8
A3	639	F	Other	nonword	plant	15	beetroot	8
A3	902	F	Other	nonword	animal	21	hedgehog	8
A3	592	F	Other	nonword	plant	4	eggplant	8
C	547	F	English	word	animal	11	woodpecker	10
C	453	F	English	nonword	plant	44	pear	4
C	523	F	English	nonword	animal	320	pig	3
D	644	M	Other	nonword	animal	7	moose	5
D	583	M	Other	word	plant	11	radish	6
D	599	M	Other	word	animal	19	bunny	5
D	614	M	Other	word	plant	160	olive	5
I	443	F	Other	word	animal	23	squid	5
I	654	F	Other	word	plant	19	asparagus	9
I	583	F	Other	nonword	animal	19	bunny	5
I	471	F	Other	nonword	plant	44	pineapple	9
J	498	F	Other	word	animal	162	monkey	6
J	525	F	Other	nonword	plant	115	lettuce	7
J	565	F	Other	nonword	animal	21	vulture	7
J	554	F	Other	word	plant	11	paprika	7
K	601	F	English	nonword	animal	71	tortoise	8
K	637	F	English	nonword	plant	50	strawberry	10
K	470	F	English	word	animal	146	camel	5
K	618	F	English	word	plant	70	walnut	6
M1	515	F	English	word	animal	88	butterfly	9
M1	418	F	English	nonword	plant	11	kiwi	4
M1	540	F	English	word	animal	113	elephant	8
M1	1158	F	English	nonword	plant	74	banana	6
M2	710	F	Other	word	animal	24	dolphin	7
M2	871	F	Other	word	plant	15	beetroot	8
M2	600	F	Other	nonword	animal	23	squid	5
M2	629	F	Other	nonword	plant	37	grape	5
P	864	F	Other	word	animal	19	bunny	5
P	560	F	Other	word	plant	123	tomato	6
P	779	F	Other	nonword	animal	63	squirrel	8
P	643	F	Other	nonword	plant	15	beetroot	8
R1	510	F	English	nonword	animal	54	owl	3
R1	531	F	English	word	plant	45	carrot	6
R1	760	F	English	nonword	animal	21	vulture	7
R1	552	F	English	word	plant	16	clove	5
R2	666	M	English	word	animal	43	wasp	4
R2	690	M	English	word	plant	45	carrot	6
R2	700	M	English	nonword	animal	162	monkey	6
R3	570	M	English	word	animal	152	lion	4
R3	746	M	English	nonword	plant	16	clove	5
R3	897	M	English	nonword	animal	146	camel	5
R3	653	M	English	word	plant	70	walnut	6
S	540	F	English	word	animal	162	monkey	6
S	487	F	English	nonword	plant	15	beetroot	8
S	505	F	English	nonword	animal	73	spider	6
S	592	F	English	nonword	plant	26	apricot	7
T1	606	F	English	nonword	animal	19	bunny	5
T1	487	F	English	nonword	plant	49	peanut	6
T1	555	F	English	word	plant	44	pear	4
T2	1139	F	Other	nonword	animal	104	whale	5
T2	776	F	Other	nonword	plant	16	broccoli	8
T2	1351	F	Other	nonword	animal	28	reindeer	8
T2	970	F	Other	word	plant	24	almond	6
V	738	F	Other	nonword	animal	43	wasp	4
V	670	F	Other	word	plant	15	beetroot	8
V	837	F	Other	word	animal	35	crocodile	9
W1	466	M	English	word	animal	152	lion	4
W1	652	M	English	word	plant	83	cherry	6
W1	707	M	English	nonword	animal	71	tortoise	8
W1	550	M	English	nonword	plant	233	lemon	5
W2	670	M	English	nonword	animal	74	frog	4
W2	623	M	English	word	plant	84	mustard	7
W2	1086	M	English	nonword	plant	206	potato	6
Z	642	M	Other	nonword	animal	19	bunny	5
Z	888	M	Other	nonword	plant	24	almond	6
Z	1097	M	Other	nonword	animal	43	wasp	4
Z	684	M	Other	nonword	plant	38	melon	5
