mated	male	domrank
0	n	-2.99625136004761
0	n	-2.93719732901081
0	n	-2.8523178929463
0	n	-2.74764279881492
0	n	-2.72666100366041
0	n	-2.72501299995929
0	n	-2.63567657070234
0	d	-2.53985300799832
0	f	-2.45373600069433
0	n	-2.43843007972464
0	n	-2.43095603445545
0	n	-2.38281213445589
0	n	-2.3824519040063
0	n	-2.33342123217881
0	n	-2.33318745391443
0	n	-2.26860444014892
0	m	-2.23481009854004
0	m	-2.21582585060969
1	m	-2.16716361930594
0	m	-2.14855855330825
0	m	-2.14623422641307
0	m	-2.14319986570626
0	m	-2.11743185436353
0	m	-2.11731811612844
0	m	-2.08592029893771
0	b	-2.08533151354641
0	m	-2.07478619506583
0	m	-1.94968409836292
0	l	-1.89702905528247
0	l	-1.89690285595134
0	l	-1.87385328439996
0	l	-1.76081166230142
0	l	-1.70155238499865
0	l	-1.69864342315122
0	l	-1.69205598765984
0	l	-1.68139421241358
0	l	-1.67928668903187
0	l	-1.67338237306103
0	l	-1.61302930768579
0	k	-1.61024528788403
0	k	-1.60179540328681
0	k	-1.56540026608855
0	k	-1.53828316368163
0	k	-1.52565793180838
0	k	-1.52347359387204
1	c	-1.52130603510886
0	k	-1.40989316347986
0	k	-1.40980361122638
0	k	-1.40587987890467
0	c	-1.40416415780783
0	k	-1.35500027099624
0	k	-1.35369813255966
0	k	-1.27453487925231
0	k	-1.26504157623276
0	k	-1.19262660015374
0	k	-1.15367993479595
0	k	-1.12978678755462
0	g	-1.12531101051718
0	j	-1.09091395419091
1	f	-1.08107629744336
0	j	-1.07776054507121
0	j	-1.07110346155241
0	j	-1.03247568430379
0	j	-1.00305875809863
0	j	-0.938901166431606
0	j	-0.889212544541806
1	j	-0.876572568900883
0	j	-0.867327715270221
0	j	-0.786927294451743
0	j	-0.783066804986447
0	i	-0.766571638640016
0	i	-0.753223344683647
1	i	-0.751716260332614
0	i	-0.721100773662329
0	i	-0.696182173211128
0	i	-0.672545820940286
0	i	-0.660033388528973
0	i	-0.572938309516758
0	i	-0.559004440438002
0	i	-0.546138469129801
0	m	-0.543150284327567
0	h	-0.535861340817064
0	h	-0.523523288313299
0	h	-0.517654042225331
0	h	-0.512721985112876
0	e	-0.494119321927428
0	h	-0.390643551014364
0	h	-0.363410782534629
0	h	-0.361009874381125
0	h	-0.34679955476895
0	h	-0.331391987856477
1	h	-0.308901951648295
0	g	-0.279995062854141
0	g	-0.26031158817932
0	f	-0.204225298482925
0	g	-0.200803786050528
0	g	-0.19932575058192
0	g	-0.148100555408746
0	g	-0.13322417344898
0	g	-0.112261197064072
0	g	-0.102585616987199
0	g	-0.0683217979967594
0	k	-0.0148363974876702
0	g	0.0137973795644939
0	f	0.0690327594056726
0	b	0.126814354676753
0	f	0.168632928282022
0	b	0.179014115128666
0	f	0.202127672731876
0	f	0.264396148268133
0	f	0.295707936398685
0	f	0.308610086794943
0	f	0.365687902551144
1	f	0.387542608659714
0	c	0.431611883919686
1	f	0.435800411738455
0	j	0.437202349305153
0	f	0.490500598680228
0	f	0.512900118716061
0	f	0.564852122683078
0	f	0.566059164237231
0	f	0.599933755584061
0	f	0.652409893926233
1	b	0.676626019645482
0	k	0.708107239566743
0	e	0.715538900345564
1	e	0.719959861133248
1	i	0.775326789356768
1	e	0.779838320799172
1	e	0.843040882609785
1	e	0.887360875960439
1	e	0.89991095289588
0	e	0.918611550237983
1	e	0.93423479469493
1	e	0.940548767801374
1	e	0.955381945241243
1	e	0.959030698053539
0	e	0.990691167768091
1	e	1.00833352468908
1	e	1.0097078983672
1	d	1.03799455566332
1	d	1.0654238127172
1	d	1.1400426090695
1	d	1.1442316705361
0	d	1.1568204369396
1	d	1.24974193330854
1	d	1.25118280900642
0	d	1.26109440810978
1	d	1.32357764057815
1	d	1.39281123317778
1	d	1.42246642755345
1	d	1.44200616236776
1	n	1.47940802481025
1	d	1.51984718581662
1	d	1.52685095183551
1	d	1.5507572251372
1	j	1.69376580789685
0	c	1.71768931020051
1	c	1.7291750041768
1	c	1.72983081266284
1	c	1.76605392666534
0	c	1.77280450612307
1	c	1.79354907386005
1	n	1.86038611829281
1	c	1.87433705711737
1	c	1.88784023327753
1	a	1.93083276087418
1	c	2.03860658872873
1	c	2.05637591332197
1	c	2.08471899060532
1	c	2.14696629205719
1	c	2.18186466861516
1	b	2.24809405719861
1	f	2.29810442402959
1	b	2.31881436472759
1	e	2.33723589638248
1	b	2.34210133273154
0	b	2.34836470289156
1	b	2.35451426636428
1	b	2.35830668639392
0	b	2.3702721549198
1	a	2.39894982241094
1	b	2.41124633699656
1	b	2.41379427071661
1	g	2.47912933817133
1	b	2.4866291214712
1	a	2.61179881962016
1	a	2.62388453492895
1	a	2.64280370576307
1	a	2.6863616402261
1	a	2.72454743133858
1	a	2.72684296499938
1	h	2.72702189488336
1	e	2.74100007209927
1	a	2.77814539521933
1	a	2.87893150420859
1	a	2.90531522082165
0	a	2.90974187990651
1	a	2.91384530626237
1	a	2.96561865974218
