pred1	pred2	resp
-3.56	2.12	-3.07
-3.23	2.17	-3.71
-1.44	2.23	-2.72
-2.93	2.3	-2.39
-2.87	2.32	-4.72
-1.28	2.71	-4.88
-2.54	2.72	-5.06
-4.27	2.74	-5.42
-3.69	2.76	-3.52
-3.45	2.78	-3.91
-1.78	2.81	-4.82
-2.64	2.81	-4.09
-2.6	2.83	-3.47
-2.89	2.87	-4.08
-3.56	2.89	-4.62
-1.21	2.93	-6
-2.5	2.94	-4.77
-4.97	2.96	-3.12
-2.3	3.01	-5.91
-3.47	3.01	-4.47
-4.07	3.02	-3.05
-3.22	3.03	-4.57
-4.03	3.04	-4.76
-3.73	3.04	-4.5
-3.63	3.05	-3.16
-4.69	3.06	-3.22
-2.16	3.07	-3.82
-2.85	3.08	-4.61
-4.14	3.09	-3.7
-1.75	3.11	-5.91
-2.57	3.19	-4.49
-3.3	3.21	-5.29
-2.1	3.32	-7
-2.12	3.34	-5.5
-2.18	3.37	-3.7
-2.31	3.42	-4.89
-2.45	3.42	-4.46
-3.06	3.48	-5.07
-3.31	3.53	-6.01
-3.38	3.54	-5.59
-3.69	3.57	-5.57
-3.21	3.58	-6.03
-4.27	3.62	-4.41
-0.83	3.65	-8.08
-1.79	3.77	-5.79
-4.12	3.8	-4.67
-3.4	3.82	-7.14
-3.47	3.93	-5.49
-2.22	4	-4.46
-3.08	4.15	-7.31
-1.25	0.47	0.52
-1.53	0.49	-1
-1.54	0.62	0.64
-0.13	0.64	-0.96
-1.73	0.82	0.88
0.02	0.83	-3.13
-3.05	0.87	-0.27
-0.92	0.91	-1.88
-1.38	0.97	-1.46
-1.28	1.01	-2.01
-1.12	1.03	-2.34
-2	1.12	-0.67
-1.83	1.14	-2.45
-2.52	1.14	0.46
-2.57	1.2	-2.3
-1.2	1.21	-1.73
-1.05	1.24	-1.42
-1.45	1.28	-1.25
-0.58	1.32	-2.66
0.55	1.4	-2.99
-1.99	1.41	-0.86
-3.81	1.45	-2.45
-0.49	1.45	-3.43
-2.21	1.47	-1.51
-2.19	1.47	-2.3
-0.47	1.5	-1.4
-1.78	1.53	-1.49
-2.72	1.55	-1.67
-1.32	1.61	-4.06
-1.64	1.62	-2.39
-1.49	1.67	-2.9
-1.11	1.69	-2.92
-1.87	1.81	-3.87
-0.86	1.82	-2.71
-1.72	1.83	-3.84
-1.17	1.84	-3.33
-0.4	1.85	-3.12
-1.06	1.88	-4.01
-1.83	1.93	-2.37
-0.35	1.96	-5.05
-0.51	1.98	-6.52
-0.95	2.01	-3.08
-1.26	2.11	-2.75
-2.13	2.12	-3.46
-0.14	2.15	-3.73
-2.1	2.17	-4.44
0.69	2.26	-4.99
0.03	2.34	-6.63
-1.74	2.34	-2.64
-2.53	2.52	-1.91
-0.71	-1.23	3.9
0.26	-1.08	2
-0.25	-1	2.08
-0.35	-0.9	0.45
-0.95	-0.83	2.92
-0.05	-0.63	1.07
-0.78	-0.57	0.87
-1.67	-0.53	0.48
-0.38	-0.5	0.89
0.92	-0.47	-0.36
-0.58	-0.45	0.78
0.61	-0.41	-0.69
-1.62	-0.39	3.27
-0.06	-0.32	0.66
0.52	-0.29	1.4
0.3	-0.29	-2.18
0.11	-0.23	-0.04
-0.64	-0.23	0.11
-0.85	-0.22	-0.36
-1.02	-0.21	2.49
0.12	-0.18	-1.12
-0.95	-0.1	1
-0.49	-0.1	1.3
-0.26	-0.02	0.34
1.84	-0.01	-1.78
-0.65	0.02	1.23
0.24	0.06	-0.06
0.08	0.07	-1.25
-0.96	0.09	-1.08
-0.07	0.1	1.93
1.44	0.14	-1.67
0.45	0.17	-2.42
0.04	0.17	0.17
-0.42	0.19	0.14
-2.05	0.21	-0.74
1.13	0.23	-2.96
-1.46	0.24	0.14
0.74	0.26	0.26
1.91	0.33	-0.97
-1.44	0.41	-0.59
0.7	0.41	-2.01
-0.26	0.42	-0.44
-1.57	0.43	0.09
-1.51	0.44	0.5
-1.6	0.51	-0.61
-0.53	0.51	0.14
-1.46	0.69	-1.48
0.69	0.75	-2.18
2.1	1.21	-2.73
-1.29	1.29	-0.94
2.29	-2.82	2.56
2.27	-2.61	4.2
1.83	-2.53	4.75
0.49	-2.33	2.95
1.38	-2.32	4.43
1.22	-2.22	3
2.06	-2.12	4.23
1.13	-2.08	4.14
2.48	-2.04	3.61
1.13	-2	3.56
2.55	-1.86	3.31
0.45	-1.82	4.8
0.24	-1.82	5.48
4.74	-1.78	1.16
1.08	-1.77	0.75
1.8	-1.73	2.58
2.14	-1.71	2.55
1.02	-1.67	2.69
2.02	-1.6	2.76
1.87	-1.6	3.27
1.28	-1.56	1.96
1.57	-1.55	2.02
1.47	-1.54	2.74
3.63	-1.51	0.66
0.76	-1.49	2.7
0.4	-1.49	0.82
1.54	-1.44	0.98
1.81	-1.42	0.6
1.94	-1.39	0.95
1.04	-1.37	1.52
0.44	-1.36	2.88
2.76	-1.35	2.3
1.15	-1.31	1.32
0.63	-1.28	1.26
1.26	-1.28	0.89
1.3	-1.27	1.48
2.61	-1.25	0.96
1.58	-1.23	2.16
2.25	-1.17	0.9
1	-1.17	-0.24
1.71	-1.16	1.38
1.18	-1.14	2.89
1.59	-1.12	2.64
0.6	-1.06	1.03
0.19	-0.96	0.27
3.5	-0.88	2.47
2.1	-0.86	0.51
0.25	-0.68	1.14
0.89	-0.61	1.2
0.31	-0.3	-1.17
5.2	-4.33	5.33
4.31	-3.68	3.66
2.73	-3.66	5.26
3.54	-3.55	5.44
2.59	-3.54	4.43
2.52	-3.44	6.2
2.21	-3.29	5.76
2.41	-3.24	4.38
4.65	-3.2	4.29
2.95	-3.19	5.66
3.12	-3.17	5.85
3.24	-3.16	4.49
4.23	-3.15	4.09
2.48	-3.14	4.95
2.01	-3.12	6.68
4.68	-3.11	5.01
2.56	-3.11	5.77
2.28	-3.05	4.68
1.76	-2.99	5.47
1.72	-2.97	5.48
2.43	-2.94	3.62
3.62	-2.92	2.31
4.11	-2.92	4.42
3.71	-2.91	2.44
2.64	-2.88	4.45
3.06	-2.84	4.41
2.3	-2.82	5.05
2.28	-2.81	4.68
3.88	-2.78	2.89
1.98	-2.74	5.48
4.96	-2.72	4.71
2.91	-2.64	4.71
3.21	-2.64	1.73
2.26	-2.63	5.53
2.43	-2.61	3.95
1.68	-2.56	4.81
2.82	-2.54	4.3
3.42	-2.54	3.28
3.32	-2.48	3.22
2.22	-2.44	4.8
2.21	-2.44	4.48
2.5	-2.39	4.53
4.5	-2.35	4.84
1.86	-2.34	4.4
2.82	-2.3	3.39
4.9	-2.28	-0.09
2.9	-2.19	5.62
1.64	-2.14	2.98
2.34	-2.14	5.48
3.49	-2.01	2.66
