judge	colour	wine	origin	score
JC	white	A1	american	10
JC	white	B1	american	13
JC	white	C1	french	14
JC	white	D1	french	15
JC	white	E1	american	8
JC	white	F1	american	13
JC	white	G1	american	15
JC	white	H1	french	11
JC	white	I1	american	9
JC	white	J1	french	12
TC	white	A1	american	16
TC	white	B1	american	14
TC	white	C1	french	14
TC	white	D1	french	16
TC	white	E1	american	12
TC	white	F1	american	11
TC	white	G1	american	11
TC	white	H1	french	14
TC	white	I1	american	11
TC	white	J1	french	14
JF	white	A1	american	16
JF	white	B1	american	17
JF	white	C1	french	16
JF	white	D1	french	15
JF	white	E1	american	14.5
JF	white	F1	american	14.5
JF	white	G1	american	16
JF	white	H1	french	17
JF	white	I1	american	15
JF	white	J1	french	17.5
OG	white	A1	american	14
OG	white	B1	american	19
OG	white	C1	french	12
OG	white	D1	french	10
OG	white	E1	american	19
OG	white	F1	american	18
OG	white	G1	american	17
OG	white	H1	french	16
OG	white	I1	american	18
OG	white	J1	french	14
RH	white	A1	american	17
RH	white	B1	american	11
RH	white	C1	french	13
RH	white	D1	french	14
RH	white	E1	american	14
RH	white	F1	american	10
RH	white	G1	american	9
RH	white	H1	french	9
RH	white	I1	american	10
RH	white	J1	french	10
LM	white	A1	american	15.5
LM	white	B1	american	15
LM	white	C1	french	17
LM	white	D1	french	18
LM	white	E1	american	16
LM	white	F1	american	17
LM	white	G1	american	15
LM	white	H1	french	14
LM	white	I1	american	16
LM	white	J1	french	17
DM	white	A1	american	10
DM	white	B1	american	15
DM	white	C1	french	12
DM	white	D1	french	12
DM	white	E1	american	15
DM	white	F1	american	14
DM	white	G1	american	15
DM	white	H1	french	12
DM	white	I1	american	15
DM	white	J1	french	12
JR	white	A1	american	16
JR	white	B1	american	15
JR	white	C1	french	14.5
JR	white	D1	french	17.5
JR	white	E1	american	16.5
JR	white	F1	american	14
JR	white	G1	american	12
JR	white	H1	french	15
JR	white	I1	american	13
JR	white	J1	french	12
FS	white	A1	american	17
FS	white	B1	american	16
FS	white	C1	french	12
FS	white	D1	french	18
FS	white	E1	american	15
FS	white	F1	american	16
FS	white	G1	american	15
FS	white	H1	french	14
FS	white	I1	american	17
FS	white	J1	french	15
JC	red	A2	french	15
JC	red	B2	french	11
JC	red	C2	american	12
JC	red	D2	american	16
JC	red	E2	american	14
JC	red	F2	american	11
JC	red	G2	french	14.5
JC	red	H2	american	13
JC	red	I2	american	10
JC	red	J2	french	14.5
TC	red	A2	french	14
TC	red	B2	french	11
TC	red	C2	american	16
TC	red	D2	american	12
TC	red	E2	american	14
TC	red	F2	american	13
TC	red	G2	french	14
TC	red	H2	american	12
TC	red	I2	american	13
TC	red	J2	french	11
JF	red	A2	french	17.5
JF	red	B2	french	19
JF	red	C2	american	18
JF	red	D2	american	18
JF	red	E2	american	15
JF	red	F2	american	16
JF	red	G2	french	18
JF	red	H2	american	18
JF	red	I2	american	17
JF	red	J2	french	17.5
OG	red	A2	french	10
OG	red	B2	french	17
OG	red	C2	american	9
OG	red	D2	american	14
OG	red	E2	american	19
OG	red	F2	american	12
OG	red	G2	french	15
OG	red	H2	american	10
OG	red	I2	american	11
OG	red	J2	french	18
RH	red	A2	french	13
RH	red	B2	french	17
RH	red	C2	american	13
RH	red	D2	american	16
RH	red	E2	american	12
RH	red	F2	american	15
RH	red	G2	french	10
RH	red	H2	american	12
RH	red	I2	american	8
RH	red	J2	french	11
LM	red	A2	french	13
LM	red	B2	french	14
LM	red	C2	american	17
LM	red	D2	american	16
LM	red	E2	american	15
LM	red	F2	american	17
LM	red	G2	french	14
LM	red	H2	american	15.5
LM	red	I2	american	13
LM	red	J2	french	18
DM	red	A2	french	14
DM	red	B2	french	16
DM	red	C2	american	11
DM	red	D2	american	16
DM	red	E2	american	14
DM	red	F2	american	15
DM	red	G2	french	13
DM	red	H2	american	11
DM	red	I2	american	10
DM	red	J2	french	15
JR	red	A2	french	15
JR	red	B2	french	19.5
JR	red	C2	american	14
JR	red	D2	american	12
JR	red	E2	american	13
JR	red	F2	american	16
JR	red	G2	french	14.5
JR	red	H2	american	15
JR	red	I2	american	16
JR	red	J2	french	16
FS	red	A2	french	19
FS	red	B2	french	18
FS	red	C2	american	8
FS	red	D2	american	15
FS	red	E2	american	15
FS	red	F2	american	12
FS	red	G2	french	15
FS	red	H2	american	16
FS	red	I2	american	7
FS	red	J2	french	17
